,title,genres,average_rating,domestic_gross,foreign_gross,year,total_gross
221,The Cold Light of Day,"Action,Thriller",4.9,3800000.0,13100000.0,2012,16900000.0
222,Miral,"Drama,History",6.3,373000.0,527000.0,2011,900000.0
223,Branded,"Drama,Fantasy,Thriller",4.7,354000.0,3400000.0,2012,3754000.0
224,Branded,"Drama,Mystery,Western",3.4,354000.0,3400000.0,2012,3754000.0
225,Made in Dagenham,"Biography,Comedy,Drama",7.2,1100000.0,11300000.0,2010,12400000.0
226,Coriolanus,"Drama,Thriller,War",6.1,757000.0,315000.0,2012,1072000.0
227,Coriolanus,"Drama,History,War",8.7,757000.0,315000.0,2012,1072000.0
228,Karthik Calling Karthik,"Drama,Mystery,Thriller",7.0,286000.0,7100.0,2010,293100.0
229,Pride and Prejudice and Zombies,"Action,Comedy,Horror",5.8,10900000.0,5500000.0,2016,16400000.0
230,Upside Down,"Drama,Fantasy,Romance",6.4,105000.0,8000000.0,2013,8105000.0
231,Upside Down,Drama,7.7,105000.0,8000000.0,2013,8105000.0
232,Upside Down,Drama,6.6,105000.0,8000000.0,2013,8105000.0
233,Race 2,"Action,Crime,Thriller",5.3,1600000.0,18900000.0,2013,20500000.0
234,The Company You Keep,"Drama,Thriller",6.4,5100000.0,14500000.0,2013,19600000.0
235,Death of a Superhero,"Animation,Drama",7.1,600.0,18900000.0,2012,18900600.0
236,A Somewhat Gentle Man,"Comedy,Crime,Drama",6.9,37700.0,1800000.0,2011,1837700.0
237,Stand Up Guys,"Comedy,Crime,Thriller",6.5,3300000.0,18900000.0,2013,22200000.0
238,Texas Killing Fields,"Crime,Drama,History",5.7,45500.0,912000.0,2011,957500.0
239,Chance Pe Dance,"Comedy,Drama,Musical",4.7,169000.0,24300.0,2010,193300.0
240,Agent Vinod,"Action,Adventure,Thriller",5.2,698000.0,18900000.0,2012,19598000.0
241,Winter's Bone,"Drama,Mystery",7.2,6500000.0,7300000.0,2010,13800000.0
242,Rare Exports: A Christmas Tale,"Adventure,Fantasy,Horror",6.7,236000.0,3800000.0,2010,4036000.0
243,The Little Bedroom,Drama,6.9,7400.0,18900000.0,2014,18907400.0
244,Aurora,Drama,6.7,5700.0,5100.0,2011,10800.0
245,Aurora,Drama,7.0,5700.0,5100.0,2011,10800.0
246,Aurora,Drama,6.3,5700.0,5100.0,2011,10800.0
247,Aurora,"Comedy,Drama,Romance",7.5,5700.0,5100.0,2011,10800.0
248,Aurora,"Horror,Thriller",4.3,5700.0,5100.0,2011,10800.0
249,Hesher,"Comedy,Crime,Drama",7.0,383000.0,18900000.0,2011,19283000.0
250,Paradise: Love,Drama,7.1,24300.0,18900000.0,2013,18924300.0
251,Wolves,"Action,Fantasy,Horror",5.3,12100.0,18900000.0,2014,18912100.0
252,Wolves,"Drama,Sport",5.6,12100.0,18900000.0,2014,18912100.0
253,The Romantics,"Comedy,Drama,Romance",5.1,107000.0,17300.0,2010,124300.0
254,Twelve,"Action,Crime,Drama",5.7,184000.0,2400000.0,2010,2584000.0
255,Twelve,Comedy,8.4,184000.0,2400000.0,2010,2584000.0
256,Twelve,"Family,Sport",6.5,184000.0,2400000.0,2010,2584000.0
257,The Flowers of War,"Drama,History,Romance",7.6,311000.0,18900000.0,2012,19211000.0
258,Table 19,"Comedy,Drama,Romance",5.8,3600000.0,1400000.0,2017,5000000.0
259,Paranoia,"Drama,Thriller",5.7,7400000.0,6400000.0,2013,13800000.0
260,Paranoia,Thriller,5.3,7400000.0,6400000.0,2013,13800000.0
261,Revenge of the Electric Car,Documentary,7.2,151000.0,18900000.0,2011,19051000.0
262,Golden Slumber,"Action,Drama,Thriller",7.1,94500.0,10600000.0,2018,10694500.0
263,Golden Slumber,"Action,Thriller",5.9,94500.0,10600000.0,2018,10694500.0
264,Cirkus Columbia,"Comedy,Drama,Romance",7.3,3500.0,9500.0,2012,13000.0
265,In Darkness,"Drama,War",7.3,1000000.0,4500000.0,2012,5500000.0
266,In Darkness,"Mystery,Thriller",5.8,1000000.0,4500000.0,2012,5500000.0
267,Somewhere,"Comedy,Drama",6.3,1800000.0,12200000.0,2010,14000000.0
268,Even the Rain,"Drama,History",7.5,518000.0,5300000.0,2011,5818000.0
269,Stone,"Drama,Thriller",5.4,1800000.0,7700000.0,2010,9500000.0
270,Stone,"Crime,Drama,Thriller",5.6,1800000.0,7700000.0,2010,9500000.0
271,Senna,"Biography,Documentary,Sport",8.6,1600000.0,6600000.0,2011,8200000.0
272,Black Nativity,"Drama,Family,Music",4.6,7000000.0,436000.0,2013,7436000.0
273,Lovelace,"Biography,Drama",6.2,357000.0,1200000.0,2013,1557000.0
274,We Are Family,"Drama,Family",5.6,638000.0,393000.0,2010,1031000.0
275,We Are Family,"Comedy,Drama",2.6,638000.0,393000.0,2010,1031000.0
276,We Are Family,Comedy,5.0,638000.0,393000.0,2010,1031000.0
277,We Are Family,Comedy,6.1,638000.0,393000.0,2010,1031000.0
278,We Are Family,"Comedy,Drama,Family",4.9,638000.0,393000.0,2010,1031000.0
279,No Problem,"Action,Comedy,Crime",4.2,285000.0,369000.0,2010,654000.0
280,Another Year,"Comedy,Drama",7.3,3200000.0,16500000.0,2010,19700000.0
281,Another Year,"Drama,Romance",6.6,3200000.0,16500000.0,2010,19700000.0
282,Another Year,Documentary,7.2,3200000.0,16500000.0,2010,19700000.0
283,The Apparition,"Horror,Thriller",4.1,4900000.0,4700000.0,2012,9600000.0
284,The Apparition,Drama,6.4,4900000.0,4700000.0,2012,9600000.0
285,13 Assassins,"Action,Adventure,Drama",7.6,803000.0,16800000.0,2011,17603000.0
286,"Love, Wedding, Marriage",Comedy,5.0,1900.0,18900000.0,2011,18901900.0
287,Oranges and Sunshine,"Drama,History",7.1,143000.0,2400000.0,2011,2543000.0
288,Guzaarish,Drama,7.5,1000000.0,695000.0,2010,1695000.0
289,Perfect Sense,"Drama,Romance,Sci-Fi",7.1,3000.0,18900000.0,2012,18903000.0
290,A Little Bit of Heaven,"Comedy,Drama,Fantasy",6.3,15400.0,1300000.0,2012,1315400.0
291,Young Goethe in Love,"Drama,Romance",6.7,162000.0,5600000.0,2011,5762000.0
292,Little White Lies,"Comedy,Drama",7.1,206000.0,48300000.0,2012,48506000.0
293,Pina,"Documentary,Music",7.7,3500000.0,11100000.0,2011,14600000.0
294,Submarine,"Comedy,Drama,Romance",7.3,468000.0,397000.0,2011,865000.0
295,This Must Be the Place,"Comedy,Drama",6.7,144000.0,11600000.0,2012,11744000.0
296,Bel Ami,"Drama,History,Romance",5.4,120000.0,8199999.0,2012,8319999.0
297,Martha Marcy May Marlene,"Drama,Mystery,Thriller",6.9,3000000.0,548000.0,2011,3548000.0
298,The Way,"Adventure,Comedy,Drama",7.4,4400000.0,18900000.0,2011,23300000.0
299,The Way,Drama,7.0,4400000.0,18900000.0,2011,23300000.0
300,The Way,Documentary,9.0,4400000.0,18900000.0,2011,23300000.0
301,Salmon Fishing in the Yemen,"Comedy,Drama,Romance",6.8,9000000.0,25500000.0,2012,34500000.0
302,Testament of Youth,"Biography,Drama,History",7.3,1800000.0,18900000.0,2015,20700000.0
303,14 Blades,"Action,History,Thriller",6.4,1400000.0,3800000.0,2014,5200000.0
304,Footnote,"Comedy,Drama",7.1,2000000.0,18900000.0,2012,20900000.0
305,Filth,"Comedy,Crime,Drama",7.1,34400.0,8300000.0,2014,8334400.0
306,Vanishing on 7th Street,"Horror,Mystery,Thriller",4.9,22700.0,1000000.0,2011,1022700.0
307,Truth,"Drama,History,Thriller",7.1,2500000.0,18900000.0,2015,21400000.0
308,Truth,"Drama,Romance",5.8,2500000.0,18900000.0,2015,21400000.0
309,Truth,"Drama,Romance,Thriller",5.1,2500000.0,18900000.0,2015,21400000.0
310,Truth,"Biography,Drama,History",6.8,2500000.0,18900000.0,2015,21400000.0
311,My Afternoons with Margueritte,"Comedy,Drama",7.2,667000.0,13600000.0,2011,14267000.0
312,The Wall,Documentary,9.2,1800000.0,2700000.0,2017,4500000.0
313,The Wall,"Drama,Fantasy,Mystery",6.8,1800000.0,2700000.0,2017,4500000.0
314,The Wall,"Action,Drama,Thriller",6.2,1800000.0,2700000.0,2017,4500000.0
