,id,rating,director,year,box_office,genre
1208,1554,G,Britt Allcroft,2000,2027042,Kids and Family
1212,1561,R,Edgar Wright,2013,33408732,Comedy
1213,1564,PG-13,Nicholas Jasenovec,2009,1149350,Comedy
1215,1567,NC17,John Waters,2004,1260219,Comedy
1220,1574,R,Maggie Carey,2013,3400000,Comedy
1229,1585,PG-13,Andrew Tennant|Andy Tennant,2005,177575142,Comedy
1231,1588,PG-13,Christopher Nolan,2006,53100000,Action and Adventure
1232,1591,NR,Haim Tabakman,2010,463914,Art House and International
1237,1600,PG-13,Bryan Singer,2003,214813155,Action and Adventure
1238,1601,PG,Gore Verbinski,2011,123188232,Action and Adventure
1239,1602,PG,Kasi Lemmons,2013,4894004,Drama
1243,1606,R,Gus Van Sant,2007,241672,Art House and International
1248,1611,PG-13,Julian Jarrold,2015,1626909,Art House and International
1254,1618,PG-13,Yimou Zhang,2004,10928042,Action and Adventure
1269,1639,NR,Jeanne Labrune,2011,8856,Art House and International
1274,1644,PG-13,Lawrence Kasdan,1985,33200000,Action and Adventure
1275,1645,R,David Mackenzie,2016,26973524,Drama
1276,1646,R,Alexander Payne,2013,11348612,Drama
1284,1657,NR,Dante Lam,2018,1526248,Action and Adventure
1289,1665,R,Mark Neveldine|Brian Taylor,2009,13630226,Action and Adventure
1297,1677,PG,Tim McCanlies,2003,41407470,Comedy
1300,1680,R,Josh Mond,2015,101368,Drama
1302,1682,PG-13,Clint Eastwood,2018,35003216,Drama
1304,1685,R,Nick Cassavetes,2007,15133185,Drama
1307,1690,PG,Ron Clements|John Musker,2002,38120554,Action and Adventure
1310,1693,PG-13,Ryan Little,2008,549351,Drama
1311,1695,PG-13,Paul Greengrass,2004,176049130,Action and Adventure
1321,1707,PG-13,John Stockwell,2005,18472363,Action and Adventure
1323,1711,G,Garry Marshall,2004,95111012,Comedy
1327,1716,NR,Claude Gagnon,1992,32000000,Drama
1328,1718,PG-13,Ryan Coogler,2015,81157671,Drama
1330,1721,R,Kelly Fremon Craig,2016,14260193,Comedy
1331,1722,PG-13,Justin Lin,2011,209805005,Action and Adventure
1353,1747,R,Will Canon,2011,16632,Drama
1361,1757,PG-13,Trish Sie,2014,13617501,Drama
1376,1775,R,Kasi Lemmons,2007,4436352,Action and Adventure
1378,1777,R,Joel Coen|Ethan Coen,2007,74223625,Action and Adventure
1386,1788,PG,Jane Campion,2009,4341275,Drama
1393,1798,PG,Ash Brannon,2017,9404922,Animation
1396,1801,PG-13,Peter Weir,2011,2500000,Drama
1402,1808,R,Sean Penn,2007,18173360,Action and Adventure
1413,1822,PG-13,James Marsh,2011,410077,Art House and International
1421,1832,R,Danny Boyle,2017,2395410,Drama
1424,1837,PG,Julian Jarrold,2007,18602895,Drama
1425,1839,PG,Lucy Walker,2017,118253,Documentary
1429,1844,R,Trey Parker,2004,32700000,Comedy
1440,1857,R,David Twohy,2009,15536310,Action and Adventure
1442,1859,R,Andrzej Bartkowiak,2003,34600000,Action and Adventure
1445,1862,PG-13,Benson Lee,2013,8888355,Drama
1448,1865,R,Craig Brewer,2007,9262318,Drama
1458,1877,PG-13,Peter Berg,2008,227946274,Action and Adventure
1464,1884,PG-13,David Zucker,2006,90672025,Comedy
1469,1890,R,Conrad Vernon|Greg Tiernan,2016,97661826,Animation
1475,1898,R,Daniel Lee,2015,72413,Action and Adventure
1492,1922,PG-13,Keenen Ivory Wayans,2006,58255287,Comedy
1499,1931,PG-13,Peter Landesman,2017,766428,Drama
1500,1932,PG-13,Tom Dey,2006,88658172,Comedy
1502,1935,PG-13,Alex Proyas,2004,144738046,Action and Adventure
1506,1940,R,Harald Zwart,2001,5689784,Comedy
1510,1944,PG-13,Michel Gondry,2011,98000000,Action and Adventure
1511,1945,PG,Bobby Farrelly|Peter Farrelly,2012,41800000,Comedy
1518,1953,R,Ricki Stern|Anne Sundberg,2010,2927972,Comedy
1526,1962,PG-13,Ridley Scott,2003,36873198,Comedy
1528,1965,G,Robert Ramirez,2004,2782548,Animation
1530,1968,PG,Cameron Crowe,2011,72700000,Comedy
1536,1975,NR,Vikramaditya Motwane,2013,581813,Drama
1537,1976,NR,Ciro Guerra,2016,1320005,Action and Adventure
1541,1980,PG-13,Joss Whedon,2005,25335935,Action and Adventure
1542,1981,NR,Gauri Shinde,2012,1416189,Comedy
1545,1985,R,Sebastian Gutierrez,2007,59371,Horror
