,title,genres,average_rating,domestic_gross,foreign_gross,year,total_gross
175,Centurion,"Action,Adventure,Drama",6.4,"$124,000.00","$6,700,000.00",2010,"$6,824,000.00"
176,Certified Copy,"Drama,Romance",7.3,"$1,400,000.00","$4,099,999.00",2011,"$5,499,999.00"
177,Babies,Documentary,7.1,"$7,300,000.00","$2,200,000.00",2010,"$9,500,000.00"
178,The Way Back,"Adventure,Drama,History",7.3,"$2,700,000.00","$17,600,000.00",2011,"$20,300,000.00"
179,Argo,"Biography,Drama,Thriller",7.7,"$136,000,000.00","$96,300,000.00",2012,"$232,300,000.00"
180,Wall Street: Money Never Sleeps,Drama,6.2,"$52,500,000.00","$82,300,000.00",2010,"$134,800,000.00"
181,Secretariat,"Biography,Drama,Family",7.2,"$59,700,000.00","$537,000.00",2010,"$60,237,000.00"
182,Krrish 3,"Action,Adventure,Sci-Fi",5.3,"$2,200,000.00","$18,700,000.00",2013,"$20,900,000.00"
183,The Warrior's Way,"Action,Fantasy,Western",6.3,"$5,700,000.00","$5,400,000.00",2010,"$11,100,000.00"
184,The Descendants,"Comedy,Drama",7.3,"$82,600,000.00","$94,700,000.00",2011,"$177,300,000.00"
185,The Descendants,Drama,7.5,"$82,600,000.00","$94,700,000.00",2011,"$177,300,000.00"
186,Iron Sky,"Action,Comedy,Sci-Fi",5.9,"$122,000.00","$8,000,000.00",2012,"$8,122,000.00"
187,The Eagle,"Action,Adventure,Drama",6.2,"$19,500,000.00","$7,600,000.00",2011,"$27,100,000.00"
188,Suspiria,"Fantasy,Horror,Mystery",6.8,"$2,500,000.00","$5,400,000.00",2018,"$7,900,000.00"
189,The Book of Eli,"Action,Adventure,Drama",6.9,"$94,800,000.00","$62,300,000.00",2010,"$157,100,000.00"
190,The Bounty Hunter,"Action,Comedy,Romance",5.6,"$67,099,999.00","$69,300,000.00",2010,"$136,399,999.00"
191,The Bounty Hunter,Drama,6.3,"$67,099,999.00","$69,300,000.00",2010,"$136,399,999.00"
192,The Nutcracker in 3D,"Action,Family,Fantasy",4.3,"$195,000.00","$16,000,000.00",2010,"$16,195,000.00"
193,The Legend of Hercules,"Action,Adventure,Fantasy",4.2,"$18,800,000.00","$42,400,000.00",2014,"$61,200,000.00"
194,Silver Linings Playbook,"Comedy,Drama,Romance",7.7,"$132,100,000.00","$104,300,000.00",2012,"$236,400,000.00"
195,Unfinished Song,"Comedy,Drama,Music",7.0,"$1,700,000.00","$5,300,000.00",2013,"$7,000,000.00"
196,Parental Guidance,"Comedy,Family",6.1,"$77,300,000.00","$42,500,000.00",2012,"$119,800,000.00"
197,Howl,"Biography,Drama,Romance",6.8,"$617,000.00","$566,000.00",2010,"$1,183,000.00"
198,Howl,"Action,Fantasy,Horror",5.3,"$617,000.00","$566,000.00",2010,"$1,183,000.00"
199,Goosebumps,"Adventure,Comedy,Family",6.3,"$80,100,000.00","$70,100,000.00",2015,"$150,200,000.00"
200,Repo Men,"Action,Crime,Sci-Fi",6.3,"$13,800,000.00","$4,600,000.00",2010,"$18,400,000.00"
201,The Big Year,Comedy,6.2,"$7,200,000.00","$244,000.00",2011,"$7,444,000.00"
202,Life as We Know It,"Comedy,Drama,Romance",6.6,"$53,400,000.00","$52,300,000.00",2010,"$105,700,000.00"
203,Boyhood,Drama,7.9,"$25,400,000.00","$19,100,000.00",2014,"$44,500,000.00"
204,Water for Elephants,"Drama,Romance",6.9,"$58,700,000.00","$58,400,000.00",2011,"$117,100,000.00"
205,Adult World,"Comedy,Drama",6.2,"$25,400.00","$18,700,000.00",2014,"$18,725,400.00"
206,Monte Carlo,"Adventure,Comedy,Family",5.8,"$23,200,000.00","$16,500,000.00",2011,"$39,700,000.00"
207,Ghost Rider: Spirit of Vengeance,"Action,Fantasy,Thriller",4.3,"$51,800,000.00","$80,800,000.00",2012,"$132,600,000.00"
208,Winchester,"Biography,Drama,Fantasy",5.4,"$25,100,000.00","$18,700,000.00",2018,"$43,800,000.00"
209,Skyfall,"Action,Adventure,Thriller",7.8,"$304,400,000.00","$804,200,000.00",2012,"$1,108,600,000.00"
210,Jonah Hex,"Action,Drama,Fantasy",4.7,"$10,500,000.00","$356,000.00",2010,"$10,856,000.00"
211,Dark Shadows,"Comedy,Fantasy,Horror",6.2,"$79,700,000.00","$165,800,000.00",2012,"$245,500,000.00"
212,Hysteria,"Horror,Thriller",6.7,"$1,800,000.00","$7,700,000.00",2012,"$9,500,000.00"
213,Hysteria,"Comedy,Romance",6.7,"$1,800,000.00","$7,700,000.00",2012,"$9,500,000.00"
214,Hysteria,"Drama,Thriller",7.4,"$1,800,000.00","$7,700,000.00",2012,"$9,500,000.00"
215,Eddie the Eagle,"Biography,Comedy,Drama",7.4,"$15,800,000.00","$30,400,000.00",2016,"$46,200,000.00"
216,Lights Out,Drama,6.6,"$67,300,000.00","$81,600,000.00",2016,"$148,900,000.00"
217,Lights Out,"Drama,Mystery,Thriller",6.4,"$67,300,000.00","$81,600,000.00",2016,"$148,900,000.00"
218,Lights Out,Drama,8.6,"$67,300,000.00","$81,600,000.00",2016,"$148,900,000.00"
219,Lights Out,"Drama,Horror,Mystery",6.3,"$67,300,000.00","$81,600,000.00",2016,"$148,900,000.00"
220,Blended,"Comedy,Romance",6.5,"$46,300,000.00","$81,700,000.00",2014,"$128,000,000.00"
221,Lone Survivor,"Action,Biography,Drama",7.5,"$125,100,000.00","$29,700,000.00",2013,"$154,800,000.00"
222,Noah,Animation,5.6,"$101,200,000.00","$261,399,999.00",2014,"$362,599,999.00"
223,Noah,"Action,Adventure,Drama",5.8,"$101,200,000.00","$261,399,999.00",2014,"$362,599,999.00"
224,Noah,"Drama,Thriller",6.5,"$101,200,000.00","$261,399,999.00",2014,"$362,599,999.00"
225,Paul,"Adventure,Comedy,Sci-Fi",7.0,"$37,400,000.00","$60,600,000.00",2011,"$98,000,000.00"
226,Paul,Drama,4.8,"$37,400,000.00","$60,600,000.00",2011,"$98,000,000.00"
227,Shanghai,"Crime,Drama,Mystery",6.4,"$46,400.00","$9,200,000.00",2015,"$9,246,400.00"
228,Shanghai,"Crime,Mystery,Thriller",7.2,"$46,400.00","$9,200,000.00",2015,"$9,246,400.00"
229,The Darkest Hour,"Action,Adventure,Horror",4.9,"$21,400,000.00","$43,200,000.00",2011,"$64,600,000.00"
230,The Darkest Hour,"Documentary,News",6.4,"$21,400,000.00","$43,200,000.00",2011,"$64,600,000.00"
231,The Quiet Ones,"Drama,Horror,Thriller",5.8,"$8,500,000.00","$9,300,000.00",2014,"$17,800,000.00"
232,The Quiet Ones,"Horror,Mystery,Thriller",5.1,"$8,500,000.00","$9,300,000.00",2014,"$17,800,000.00"
233,Foxcatcher,"Biography,Drama,Sport",7.0,"$12,100,000.00","$18,700,000.00",2014,"$30,800,000.00"
234,Killers,"Action,Comedy,Romance",5.4,"$47,100,000.00","$51,100,000.00",2010,"$98,200,000.00"
235,Killers,"Action,Crime,Drama",6.5,"$47,100,000.00","$51,100,000.00",2010,"$98,200,000.00"
236,Eva,Drama,5.4,"$16,700.00","$18,700,000.00",2015,"$18,716,700.00"
237,Eva,"Drama,Fantasy,Sci-Fi",6.7,"$16,700.00","$18,700,000.00",2015,"$18,716,700.00"
