,id,rating,director,theater_date,box_office,studio,genre
888,1149,PG,Alex Kendrick|Stephen Kendrick,2006,10127352,Destination Film,Drama
889,1150,PG-13,Trent Cooper,2006,15655665,Lions Gate Films,Comedy
890,1152,NR,Jan Cvitkovic,1987,20900803,Universal Pictures,Drama
891,1153,NR,Robert Siodmak,1987,20900803,Universal Pictures,Classics
892,1154,G,Rob LaDuca|Darrell Rooney,1998,20900803,Universal Pictures,Action and Adventure
893,1155,PG-13,Matt Tynauer|Matt Tyrnauer,2009,1569618,Truly Indie,Documentary
894,1156,G,Jack Kinney|Hamilton Luske|Bill Roberts|William Morgan,1947,20900803,Universal Pictures,Action and Adventure
895,1158,NR,Steven Spielberg,1987,20900803,Universal Pictures,Action and Adventure
896,1159,NR,David Swift,1967,20900803,Universal Pictures,Classics
897,1160,NR,Liu Chia-Liang,1982,20900803,Universal Pictures,Action and Adventure
898,1161,R,Steven Spielberg,2005,116783,ThinkFilm Inc.,Action and Adventure
899,1162,R,Glenn Ficarra|John Requa,2016,18356529,Paramount Pictures,Comedy
900,1163,R,Paul McGuigan,2017,20900803,Sony Pictures Classics,Art House and International
901,1164,R,Josie Rourke,1987,20900803,Focus Features,Drama
902,1166,NR,Steven Spielberg,1987,20900803,Universal Pictures,Art House and International
903,1167,R,Steven Spielberg,1996,20900803,Miramax Films,Comedy
904,1168,NR,Charles Crichton,1952,20900803,Universal Pictures,Action and Adventure
905,1169,PG-13,David Gelb,2015,20467547,Relativity Media,Horror
906,1170,R,Tony Bill,1987,20900803,Universal Pictures,Art House and International
907,1171,PG-13,Steven Spielberg,2013,4300353,Lionsgate/Roadside Attractions,Action and Adventure
908,1172,NR,Daniela Thomas,2018,20900803,Universal Pictures,Action and Adventure
909,1173,R,Andrei Tarkovsky,1973,20900803,Universal Pictures,Art House and International
910,1175,R,Yimou Zhang,1994,20900803,Universal Pictures,Art House and International
911,1176,NR,Frank Fehmers,1987,20900803,Universal Pictures,Animation
912,1179,R,Robert Aldrich,1987,20900803,Universal Pictures,Comedy
913,1180,PG,Henry Selick|Tim Burton,1993,8616662,Touchstone Pictures,Animation
914,1182,PG,Kenny Ortega,2009,71844424,Sony Pictures/Columbia Pictures,Documentary
915,1183,R,Sofia Coppola,2003,44566004,Focus Features,Comedy
916,1185,NR,Natalya Kudryashova,1987,20900803,Universal Pictures,Drama
917,1186,R,Sydney Pollack,1990,20900803,Universal Pictures,Drama
918,1187,NR,Ji Woo Chung,1987,20900803,Universal Pictures,Art House and International
919,1189,PG,Federico Fellini,1954,20900803,Universal Pictures,Art House and International
920,1191,NR,Irving Pichel,1947,20900803,Universal Pictures,Classics
921,1192,NR,Steven Spielberg,1987,20900803,Universal Pictures,Horror
922,1194,NR,Stanley Long,1987,20900803,Universal Pictures,Art House and International
923,1195,NR,Steven Spielberg,1987,20900803,Universal Pictures,Drama
924,1196,NR,Busby Berkeley,1940,20900803,Universal Pictures,Classics
925,1197,R,Bertrand Bonello,2015,20900803,Sony Pictures Classics,Art House and International
926,1199,PG-13,Peter Faiman,1991,20900803,Universal Pictures,Comedy
927,1200,R,Andrew Dominik,2007,3900000,Warner Bros. Pictures,Action and Adventure
928,1203,PG,Richard Attenborough,1987,20900803,Universal Pictures,Art House and International
